עיר,רחוב 1,רחוב 2,מרחק (מטר),קו רוחב 1,קו אורך 1,קו רוחב 2,קו אורך 2
ירושלים,Military Road,طريق عسكري,2046,31.8128315,35.2407621,31.8171061,35.2618218
חיפה,אריה שנקר,מטרונית,1828,32.8074478,35.062323,32.8235559,35.0584106
רעננה,אחוזה,השרון,1788,32.1814719,34.8700693,32.1774498,34.8884634
חיפה,מטרונית,שדרות המגינים,1671,32.8170818,35.0001729,32.8241876,34.9844215
נוף הגליל,אריאב מנחם,תבור,1489,32.7077924,35.3331652,32.7045346,35.317725
חיפה,העצמאות,מטרונית,1410,32.823664,34.9927595,32.8141704,35.0027666
בת ים,בלפור,הרצל,1327,32.0309067,34.7441822,32.0190292,34.7455834
ירושלים,הכביש האמריקאי,כביש טבעת מזרחי,1250,31.7353068,35.2505329,31.7262432,35.2427114
חיפה,מטרונית,"שדרות פלי""ם",1158,32.8169478,35.0002177,32.808565,35.0075658
ראשון לציון,נחמיה,עזרא,1133,31.953567,34.8161524,31.9506045,34.8276419
יקנעם עילית,טיילת יער אליקים,"טיילת קק""ל",1101,32.6520891,35.0971876,32.6460836,35.0878379
רמת גן,אבא הלל סילבר,רוקח,1083,32.0949753,34.8194359,32.0897959,34.8097044
הרצליה,המעפילים,קרן היסוד,1046,32.1800337,34.8157676,32.1821091,34.8049274
אילת,דרך צבאית,מעבר צפרא (נ' שלמה-נ' גישרון),1015,29.5556638,34.8831372,29.5619152,34.890779
בית שמש,אילפא,תלמוד בבלי,1002,31.6992499,34.9684062,31.7034228,34.95902
רמת גן,רוקח,שדרת הנרקיסים,955,32.0958043,34.8184366,32.0924891,34.8090884
קריית טבעון,חיים ויצמן,טיילת קריית חרושת,925,32.6997194,35.1057821,32.691737,35.1085713
חיפה,דוד אלעזר,חוף הכרמל,873,32.8025579,34.9574647,32.8103047,34.9559237
חיפה,כבירים,רענן,867,32.8022446,34.9773734,32.8066254,34.969703
בני ברק,601,"לח""י",862,32.1031597,34.8375008,32.1044845,34.8465209
אשדוד,האשלג,המתכת,851,31.8306921,34.6738754,31.8316836,34.6828119
ירושלים,האומן,משה ברעם,842,31.7487839,35.2055658,31.7455811,35.2136375
ירושלים,הכביש האמריקאי,כביש שירות - גדר ההפרדה,834,31.7328092,35.2487278,31.7399035,35.2515948
חריש,אלון,גפן,818,32.4610439,35.0428619,32.4672577,35.0381885
ירושלים,אהרון שולוב,דרך נדב,818,31.7435991,35.1721224,31.7457138,35.1638401
חיפה,מטרונית,"צייזל, ירוחם",793,32.7977942,35.0196667,32.8026319,35.0134281
טבריה,הגבורה,כרכום,771,32.7870641,35.5288716,32.7801516,35.5282151
ירושלים,קפלן,רופין,755,31.7801817,35.1990971,31.7749488,35.2041842
כרמיאל,ביכורים,קציר,750,32.9155841,35.2779312,32.9167637,35.2700192
ראשון לציון,החלוצים,נווה דקלים,747,31.9810146,34.7584216,31.9829569,34.7659985
כרמיאל,הגליל,צה״ל,729,32.9207848,35.3036965,32.9142342,35.3035574
ירושלים,דב גרונר,עולי הגרדום,724,31.7471805,35.2375804,31.7530231,35.2341898
מבשרת ציון,השלום,כלנית,706,31.8042289,35.1539607,31.8022451,35.1610584
ירושלים,יוסי בן יועזר,"רשב""ג",697,31.7579493,35.2102868,31.7528022,35.2060746
ראשון לציון,אופנידן,שדרות יצחק רבין,697,31.9729498,34.7693155,31.9760547,34.7628936
ערד,אשד,הקנאים,674,31.2505178,35.1962906,31.2558406,35.1996877
כפר ורדים,ארבל,לוטם,658,32.9976473,35.2704949,33.0000164,35.2640267
באר שבע,שאול המלך,שדרות גולדה מאיר,653,31.255118,34.7666735,31.2597402,34.7709065
רמת גן,אלוף דוד,גבעתי,622,32.0533348,34.817194,32.0585798,34.8194925
נס ציונה,הבנים,רחבעם זאבי,621,31.9305808,34.807618,31.925128,34.8090573
חריש,טופז,שוהם,619,32.467058,35.0485015,32.4655807,35.0421425
חיפה,אברהם ויינשל,ראול ולנברג,607,32.7784179,34.9869371,32.7784295,34.9804489
כרמיאל,אנקור,נחניאלי,594,32.9054976,35.289093,32.9020062,35.2939145
יקנעם עילית,אביטל,יער אודם,592,32.6371382,35.0856481,32.6381225,35.0918626
כרמיאל,מצפה נוף,רמים,588,32.9196923,35.2920705,32.9200881,35.2983532
רמת גן,אלוף דוד,רמת חן,588,32.0534408,34.8161989,32.0583405,34.8185367
זכרון יעקב,מוסקט,ענבים,587,32.5512379,34.9612919,32.5558118,34.9644105
הרצליה,גלי תכלת,המעפילים,576,32.1804325,34.8040042,32.1848278,34.8072526
אלעד,רבן יוחנן בן זכאי,שמעון הצדיק,576,32.0484441,34.965866,32.0475071,34.9598561
ראש העין,המלאכה,העמל,571,32.1071199,34.9711419,32.1083594,34.9652538
מבשרת ציון,גפן,כרמים,571,31.7908489,35.1451433,31.7911174,35.1511724
יקנעם עילית,הכרמל,ואדי מילק,567,32.6613492,35.1047843,32.6573115,35.1010847
רמת גן,הבילויים,שרה אהרונסון,558,32.0609725,34.8216278,32.0599775,34.8274311
חיפה,הגיבורים,מטרונית,553,32.804239,35.0048242,32.8019891,35.0100973
ירושלים,אורוגואי,גואטמלה,552,31.7551107,35.1772947,31.7599957,35.1762699
רמת גן,אלוף דוד,רזיאל,552,32.0542502,34.8229817,32.0590163,34.8213537
שדרות,כניסת ספקים,מנחם בגין,549,31.5212219,34.5935616,31.5178376,34.5893492
מודיעין-מכבים-רעות,אלה,שדרות האורנים,543,31.8924832,35.0141788,31.8889328,35.0181349
רמת גן,אלוף דוד,אלכסנדרוני,543,32.0535986,34.8153139,32.0580951,34.8175688
בני ברק,אבו חצירא,אבוחצירא,538,32.092375,34.8332916,32.0963065,34.8299646
נוף הגליל,מורן,ניצן,536,32.7254318,35.3346781,32.7207074,35.3335489
בית שאן,המייסדים,לוי אשכול,535,32.4872126,35.4973238,32.4888136,35.4919448
ירושלים,ניתאי הארבלי,קנאי הגליל,531,31.7518858,35.2028128,31.7559729,35.1999148
גבעתיים,הרצוג,קפלנסקי,529,32.0644711,34.8144658,32.0620192,34.8192792
ערד,אשד,נחל,529,31.2510404,35.1976973,31.2552658,35.2002584
ירושלים,הציפורן,יפה רום,529,31.7320268,35.1899473,31.7367786,35.1901924
באר שבע,דרך חברון,רוטשילד,524,31.240934,34.8013364,31.2447929,34.8045048
אילת,החשמונאים,הנבטים,524,29.5515993,34.9305612,29.5493124,34.9352994
חיפה,דרך גבעת העיזים,שביל הפסגה,521,32.7724635,34.9884953,32.7724408,34.9829261
נוף הגליל,אריאב מנחם,קישון,510,32.707847,35.332688,32.708088,35.3272458
טבריה,הדקל,צאלון,505,32.7864752,35.5265979,32.7830189,35.5300983
חיפה,חטיבת גולני,מטרונית,500,32.8080941,35.0080353,32.8116507,35.0047662
כפר ורדים,חירם,חרמון,498,32.9933465,35.2772406,32.9914678,35.2723993
אשקלון,דרום אפריקה,יהונסבורג,497,31.675431,34.5699145,31.6798905,34.5702615
כרמיאל,הפרחים,מורד הגיא,497,32.905285,35.2963563,32.9055599,35.3016659
אשדוד,יצחק הנשיא,יצחק נשיא,493,31.7968339,34.6580468,31.7991664,34.6536084
זכרון יעקב,החצב,הסתוונית,491,32.5838544,34.9529235,32.5882535,34.9525044
עפולה,חבצלת,לוטם,489,32.6166112,35.2804917,32.6145025,35.2850747
נוף הגליל,מורן,עדעד,488,32.7259922,35.3331555,32.7221237,35.3306837
ירושלים,המלך ג'ורג',המלך ג׳ורג׳,487,31.7793329,35.215749,31.7752901,35.217738
ירושלים,אגסי,קצנלבוגן,478,31.786534,35.1753213,31.783252,35.1785901
כפר ורדים,אבני החושן,שוהם,477,33.0070133,35.2501747,33.0053956,35.2549142
הרצליה,יציאת אירופה,קיבוץ גלויות,474,32.1667239,34.8602132,32.1706933,34.8620628
באר שבע,מרווה,רוזמרין,473,31.2559952,34.7565342,31.2596055,34.7539007
ירושלים,בית הכרם,הרצל,472,31.7801025,35.1880976,31.78268,35.1920637
פתח תקווה,אבא אחימאיר,"י""ד הבנים",471,32.073807,34.8826496,32.0715984,34.8783879
ירושלים,דוד רזיאל,מרדכי אלקחי,464,31.7516949,35.2312174,31.7475274,35.2314494
דימונה,המעפיל,הפיסגה,462,31.0694608,35.0432812,31.0719688,35.0394094
אשקלון,השבטים,ראובן,462,31.6496779,34.584036,31.6538241,34.5842755
יקנעם עילית,הנוריות,הציפורנים,461,32.6548822,35.1112616,32.6584935,35.1088374
חיפה,מטרונית,שדרות ג'יימס דה רוטשילד,458,32.8240591,34.9846716,32.8281157,34.9837964
חריש,אורן,שקד,457,32.4567946,35.0391245,32.455853,35.0438663
נוף הגליל,יקינטון,עטרה,452,32.7211103,35.3356937,32.7249667,35.3372131
ירושלים,הרב אהרון ברנד,חי טייב,449,31.781583,35.1732331,31.7855552,35.1723806
רמת גן,השר משה,חד נס,447,32.0662093,34.821805,32.0656645,34.8265082
אילת,דקר,זהרון,446,29.5571441,34.9318208,29.5563713,34.9363429
חיפה,העוגן,התורן,445,32.8256521,34.9609031,32.8289216,34.9636435
ראש העין,חרמון,כרמל,443,32.089301,34.9620062,32.0931568,34.9632062
אשדוד,פורצי הדרך,קרן קיימת לישראל,443,31.7801213,34.6475763,31.7830795,34.6507082
קריית אונו,יאיר שטרן,לוי אשכול,439,32.049756,34.8640135,32.053692,34.8644322
ירושלים,אלעזר בן יאיר,קנאי הגליל,439,31.7517788,35.20325,31.7547942,35.2002518
שדרות,המכבים,מקוה ישראל,438,31.5317282,34.5815442,31.5322503,34.5861219
ירושלים,סול ליפצין,שאול אביגור,436,31.7247981,35.2237588,31.7234865,35.2194147
באר שבע,דרך חברון,הנגרים,435,31.243454,34.8060073,31.2409466,34.8024965
אריאל,הנגב,הערבה,434,32.1050967,35.1874822,32.1050395,35.182874
חיפה,ההגנה,כביש החוף,433,32.7995126,34.9612674,32.7956826,34.9621032
ירושלים,טיילת הגבורה,שמחה הולצברג,433,31.8363727,35.2320374,31.832782,35.2338011
ירושלים,מעגלות הרב פרדס,נווה יעקב,431,31.8404908,35.2403178,31.8443634,35.240212
חיפה,אלברט שוייצר,ראול ולנברג,430,32.7806835,34.9816951,32.7792032,34.9859494
ירושלים,דוידזון,ניות,427,31.7706286,35.2060073,31.767929,35.2027915
